iter	Passed	Remaining
0	1	113
1	2	110
2	3	104
3	3	95
4	4	93
5	5	91
6	6	91
7	7	91
8	9	92
9	10	90
10	11	89
11	11	87
12	12	86
13	13	85
14	14	84
15	16	84
16	17	86
17	18	86
18	20	86
19	21	86
20	22	84
21	23	83
22	24	82
23	25	81
24	26	80
25	27	79
26	29	78
27	30	77
28	31	76
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	71
35	39	70
36	41	70
37	42	69
38	43	67
39	44	66
40	45	65
41	48	66
42	50	66
43	52	66
44	53	65
45	54	64
46	56	63
47	57	62
48	58	60
49	59	59
50	60	58
51	62	57
52	64	56
53	65	55
54	65	53
55	66	52
56	68	51
57	68	49
58	70	48
59	71	47
60	72	46
61	73	45
62	74	43
63	77	43
64	79	42
65	80	41
66	82	40
67	83	39
68	84	38
69	85	36
70	86	35
71	88	34
72	89	32
73	90	31
74	91	30
75	94	29
76	95	28
77	97	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	20
83	103	19
84	104	18
85	105	17
86	107	15
87	109	14
88	110	13
89	111	12
90	112	11
91	113	9
92	114	8
93	116	7
94	117	6
95	119	4
96	124	3
97	126	2
98	127	1
99	128	0
